date,home_team,away_team,home_win_rate,odds_1,home_team_prob,prob_used,EV_€_per_100,EV_live_€_per_100,win,home_team_won,pnl_100,home_ml_pnl_100
2026-03-28,MIN,DET,0.65,2.05,0.5381068306793373,0.5381068306793373,,,0,0,-100.0,-100.0
2026-03-29,TOR,ORL,0.55,1.77,0.5008188683844691,0.5008188683844691,,,1,1,77.0,77.0
2026-03-29,CHO,BOS,0.6,1.91,0.4747963963743487,0.4747963963743487,,,0,0,-100.0,-100.0
2026-03-30,MIA,PHI,0.55,2.1,0.4185491303638231,0.4185491303638231,,,1,1,110.00000000000001,110.00000000000001
2026-03-30,ATL,BOS,0.75,1.82,0.5701749245725818,0.5701749245725818,,,1,1,82.0,82.0
2026-03-31,DET,TOR,0.7,1.7,0.5682565527784386,0.5682565527784386,,,1,1,70.0,70.0
2026-03-31,HOU,NYK,0.65,1.93,0.6361156976350337,0.6361156976350337,,,1,1,93.0,93.0
2026-03-31,LAL,CLE,0.75,1.77,0.6230388963999735,0.6230388963999735,,,1,1,77.0,77.0
2026-04-01,ORL,ATL,0.6,2.24,0.4500519447882595,0.4500519447882595,,,0,0,-100.0,-100.0
2026-04-02,LAC,SAS,0.65,2.42,0.5876209759357499,0.5876209759357499,,,0,0,-100.0,-100.0
2026-04-02,DET,MIN,0.75,1.62,0.6827535773534833,0.6827535773534833,,,1,1,62.000000000000014,62.000000000000014
2026-04-03,PHI,MIN,0.6,1.74,0.6342918941234155,0.6342918941234155,,,1,1,74.0,74.0
2026-04-04,PHI,DET,0.6,2.3,0.6357483101654647,0.6357483101654647,,,0,0,-100.0,-100.0
2026-04-05,MIN,CHO,0.6,2.36,0.5708990190996368,0.5708990190996368,,,0,0,-100.0,-100.0
2026-04-06,ATL,NYK,0.8,1.83,0.5083235855187888,0.5083235855187888,,,0,0,-100.0,-100.0
2026-04-08,SAS,POR,0.9,1.6,0.8008755615806333,0.8008755615806333,,,1,1,60.00000000000001,60.00000000000001
2026-04-08,CLE,ATL,0.7,1.83,0.6460100498819936,0.6460100498819936,,,1,1,83.0,83.0
2026-04-09,TOR,MIA,0.55,1.62,0.7335506869382201,0.7335506869382201,,,1,1,62.000000000000014,62.000000000000014
2026-04-09,HOU,PHI,0.65,1.57,0.710296412436941,0.710296412436941,,,1,1,57.00000000000001,57.00000000000001
2026-04-09,NYK,BOS,0.65,1.54,0.6592995801016032,0.6592995801016032,,,1,1,54.0,54.0
2026-04-10,POR,LAC,0.6,1.87,0.769388782590501,0.769388782590501,,,1,1,87.00000000000001,87.00000000000001
2026-04-10,LAL,PHO,0.75,2.2,0.5549287246298479,0.5549287246298479,,,1,1,120.00000000000001,120.00000000000001
2026-04-12,BOS,ORL,0.8,2.4,0.6704822297297395,0.6704822297297395,,,1,1,140.0,140.0
2026-04-15,PHI,ORL,0.65,1.8,0.6804090412353525,0.6804090412353525,,,1,1,80.0,80.0
2026-04-17,ORL,CHO,0.6,2.36,0.5422893225818929,0.5422893225818929,,,1,1,136.0,136.0
2026-04-21,LAL,HOU,0.75,2.6,0.6092838568300003,0.6092838568300003,,,1,1,160.0,160.0
2026-04-23,TOR,CLE,0.55,2.3,0.5498725605210177,0.5498725605210177,,,1,1,129.99999999999997,129.99999999999997
2026-04-23,MIN,DEN,0.55,2.14,0.4674703627533003,0.4674703627533003,,,1,1,114.00000000000001,114.00000000000001
2026-04-23,ATL,NYK,0.8,2.02,0.6589416652742748,0.6589416652742748,,,1,1,102.0,102.0
2026-04-24,POR,SAS,0.65,2.2,0.7425508973513372,0.7425508973513372,,,0,0,-100.0,-100.0
2026-04-25,MIN,DEN,0.6,2.02,0.5562880719316893,0.5562880719316893,,,1,1,102.0,102.0
2026-04-25,ATL,NYK,0.8,2.1,0.6755375991455155,0.6755375991455155,,,0,0,-100.0,-100.0
2026-04-25,ORL,DET,0.65,2.14,0.5993764487082905,0.5993764487082905,,,1,1,114.00000000000001,114.00000000000001
2026-04-26,HOU,LAL,0.65,1.54,0.6237926764128771,0.6237926764128771,,,1,1,54.0,54.0
2026-04-26,TOR,CLE,0.55,2.42,0.6733885978348959,0.6733885978348959,,,1,1,142.0,142.0
2026-04-27,ORL,DET,0.65,2.3,0.6818566900098638,0.6818566900098638,,,1,1,129.99999999999997,129.99999999999997
2026-04-29,LAL,HOU,0.8,1.54,0.5347893720993147,0.5347893720993147,,,0,0,-100.0,-100.0
2026-05-01,TOR,CLE,0.6,2.45,0.7658646278080328,0.7658646278080328,,,1,1,145.00000000000003,145.00000000000003
2026-05-01,ORL,DET,0.65,2.36,0.5802346066524035,0.5802346066524035,,,0,0,-100.0,-100.0
2026-05-01,HOU,LAL,0.7,1.59,0.5320007383609971,0.5320007383609971,,,0,0,-100.0,-100.0
2026-05-05,DET,CLE,0.75,1.68,0.656437841840934,0.656437841840934,,,1,1,68.0,68.0
2026-05-07,DET,CLE,0.75,1.62,0.6532357327973056,0.6532357327973056,,,1,1,62.000000000000014,62.000000000000014
2026-05-08,PHI,NYK,0.65,1.82,0.5855886881764708,0.5855886881764708,,,0,0,-100.0,-100.0
2026-05-09,CLE,DET,0.85,1.54,0.4486588909744494,0.4486588909744494,,,1,1,54.0,54.0
2026-05-10,PHI,NYK,0.6,2.0,0.4201925920983141,0.4201925920983141,,,0,0,-100.0,-100.0
2026-05-10,MIN,SAS,0.6,2.6,0.4613955176779204,0.4613955176779204,,,1,1,160.0,160.0
2026-05-11,CLE,DET,0.85,1.6,0.4399901887167364,0.4399901887167364,,,1,1,60.00000000000001,60.00000000000001
