home_team,away_team,home_team_prob,odds_1,odds_2,result,date,accuracy,prob_iso,prob_iso_insample,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,prob_live_safe,prob_used,source_snapshot_date,result_raw,game_date,pred_home_win_proba,closing_home_odds,closing_away_odds,home_team_won,iso_proba_home_win,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,prob_blended,live_shrink_triggered,blocked_by,implied_prob_1,home_win_rate
OKC,HOU,0.5314516298892457,1.31,3.6,OKC,2025-10-21,1.0,0.5,0.5094339622641508,0.5,0.5094339622641508,0.5094339622641508,0.5094339622641508,0.5094339622641508,0.6866176771476018,2026-06-02,OKC,2025-10-21,0.5314516298892457,1.31,3.6,1.0,0.5,True,1200,0,,0.7633587786259541,0.7331975560081467,-0.2237635937439959,False,False,0.7195502084089433,True,PASS,0.7633587786259541,0.85
LAL,GSW,0.3669372941889376,2.1,1.77,GSW,2025-10-21,1.0,0.30263157894736836,0.2828282828282828,0.30263157894736836,0.2828282828282828,0.35,0.2828282828282828,0.2828282828282828,0.42930914541541265,2026-06-02,GSW,2025-10-21,0.3669372941889376,2.1,1.77,0.0,0.30263157894736836,True,1200,0,,0.47619047619047616,0.4573643410852713,-0.10736434108527132,False,False,0.42930914541541265,False,PASS,0.47619047619047616,0.7
ORL,MIA,0.3839393472255353,1.33,4.1,ORL,2025-10-22,0.0,0.4473684210526316,0.4222222222222222,0.4473684210526316,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.712391492460286,2026-06-02,ORL,2025-10-22,0.3839393472255353,1.33,4.1,1.0,0.4473684210526316,True,1200,0,,0.7518796992481203,0.7550644567219152,-0.332842234499693,False,False,0.7498723440709247,True,PASS,0.7518796992481203,0.7
PHO,SAC,0.471660898045118,1.55,2.5,PHO,2025-10-22,0.0,0.45416666666666666,0.4540540540540541,0.45416666666666666,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.5960673078808224,2026-06-02,PHO,2025-10-22,0.471660898045118,1.55,2.5,1.0,0.45416666666666666,True,1200,0,,0.6451612903225806,0.6172839506172839,-0.16322989656322984,False,False,0.5960673078808224,False,PASS,0.6451612903225806,0.6
DAL,SAS,0.2982415129131054,1.95,2.2,SAS,2025-10-22,1.0,0.2549019607843137,0.2828282828282828,0.2549019607843137,0.2828282828282828,0.35,0.2828282828282828,0.2828282828282828,0.5111644924896024,2026-06-02,SAS,2025-10-22,0.2982415129131054,1.95,2.2,0.0,0.2549019607843137,True,1200,0,,0.5128205128205129,0.5301204819277109,-0.1801204819277109,False,False,0.5111644924896024,False,PASS,0.5128205128205129,0.5
CHI,DET,0.4555581422788112,2.17,1.81,CHI,2025-10-22,0.0,0.45416666666666666,0.4540540540540541,0.45416666666666666,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.454060501679379,2026-06-02,CHI,2025-10-22,0.4555581422788112,2.17,1.81,1.0,0.45416666666666666,True,1200,0,,0.4608294930875576,0.4547738693467336,-0.0007198152926795043,False,False,0.454060501679379,False,PASS,0.4608294930875576,0.6
UTA,LAC,0.5069791398501519,1.21,4.6,UTA,2025-10-22,1.0,0.5,0.5094339622641508,0.5,0.5094339622641508,0.5094339622641508,0.5094339622641508,0.5094339622641508,0.740937247120658,2026-06-02,UTA,2025-10-22,0.5069791398501519,1.21,4.6,1.0,0.5,True,1200,0,,0.8264462809917356,0.7917383820998279,-0.2823044198356771,False,False,0.783455584847833,True,PASS,0.8264462809917356,0.35
CHO,BRK,0.338739334693389,1.5,2.75,CHO,2025-10-22,0.0,0.30263157894736836,0.2828282828282828,0.30263157894736836,0.2828282828282828,0.35,0.2828282828282828,0.2828282828282828,0.6188393890390614,2026-06-02,CHO,2025-10-22,0.338739334693389,1.5,2.75,1.0,0.30263157894736836,True,1200,0,,0.6666666666666666,0.6470588235294118,-0.2970588235294118,False,False,0.6398110459283076,True,PASS,0.6666666666666666,0.5
MIL,WAS,0.5747770484434845,1.22,4.4,MIL,2025-10-22,1.0,0.5420560747663552,0.5454545454545454,0.5420560747663552,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.730107488149573,2026-06-02,MIL,2025-10-22,0.5747770484434845,1.22,4.4,1.0,0.5420560747663552,True,1200,0,,0.819672131147541,0.7829181494661922,-0.2374636040116468,False,False,0.7707146919406741,True,PASS,0.819672131147541,0.5
MEM,NOP,0.5001195066058592,1.53,2.5,MEM,2025-10-22,1.0,0.45416666666666666,0.4540540540540541,0.45416666666666666,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.4540540540540541,0.5995446155288598,2026-06-02,MEM,2025-10-22,0.5001195066058592,1.53,2.5,1.0,0.45416666666666666,True,1200,0,,0.6535947712418301,0.6203473945409429,-0.16629334048688882,False,False,0.5995446155288598,False,PASS,0.6535947712418301,0.5
