date,home_team,away_team,home_team_prob,odds_home,odds_away,result_raw,source_file,source_file_date,game_key,actual_winner,actual_game_played,actual_home_win,model_selected_side,model_selected_team,model_correct,model_odds,model_pnl_flat_100,model_roi_pct_flat_100,pregame_snapshot_file,pregame_snapshot_path,pregame_snapshot_source_date,pregame_snapshot_source_type,pregame_engine_state,pregame_params_used_json,pregame_shortlist_membership,pregame_watchlist_membership,pregame_blocked_by,pregame_model_market_gap,pregame_EV_€_per_100,pregame_prob_used,pregame_odds_1,pregame_odds_2,pregame_prob_live_oos_proxy,pregame_prob_iso_oos_time,pregame_live_oos_proxy_ready,pregame_live_oos_proxy_used,pregame_live_oos_proxy_train_rows,pregame_live_oos_proxy_bin_n,pregame_live_oos_proxy_bin_winrate,pregame_qualitative_vibe_notes,script11_artifact_file,script11_artifact_path,script11_artifact_source_date,script11_engine_state,script11_decision,script11_stage2_candidate_type,script11_blocked_by,script11_rules_passed,script11_ev_per_100,script11_prob_used,script11_odds_1,script11_home_win_rate,script11_pass_hw,script11_pass_odds,script11_pass_prob,script11_pass_ev,script11_canonical_signal,script11_allowed_review_type,script11_source,script11_params_chosen,legacy_strategy_qualified,canonical_model_bet,decision_bucket,strategy_qualified,user_bet_placed,user_bets_settled,user_bet_side,user_bet_team,user_bet_market,user_bet_odds,user_stake,user_won,user_pnl,pregame_snapshot_available,user_bet_aligned_with_model,user_bet_outside_model,user_skipped_model_bet,user_correctly_skipped_watch_only,user_bet_has_pnl,user_bet_has_result
2026-01-29,MIN,OKC,0.612421802992306,2.9,1.43,MIN,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-29|MIN|OKC,MIN,True,True,HOME,MIN,1.0,2.9,190.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-29,PHI,SAC,0.4265008332808914,1.2,4.8,PHI,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-29|PHI|SAC,PHI,True,True,AWAY,SAC,0.0,4.8,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-29,PHO,DET,0.6182063287926581,2.36,1.62,PHO,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-29|PHX|DET,PHX,True,True,HOME,PHO,1.0,2.36,136.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,True,False,HOME,PHO,HOME_ML,2.36,100.0,,,False,True,True,False,False,False,False
2026-01-29,WAS,MIL,0.3561465847309845,2.14,1.74,WAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-29|WAS|MIL,WAS,True,True,AWAY,MIL,0.0,1.74,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,BOS,ATL,0.6383175507668652,1.43,2.9,ATL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|BOS|ATL,ATL,True,False,HOME,BOS,0.0,1.43,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,CLE,LAL,0.5536363750964381,1.68,2.24,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|CLE|LAL,CLE,True,True,HOME,CLE,1.0,1.68,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,DAL,MIN,0.4597563139830929,3.05,1.4,MIN,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|DAL|MIN,MIN,True,False,AWAY,MIN,1.0,1.4,39.99999999999999,39.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,True,False,HOME,DAL,HOME_ML,3.05,100.0,,,False,False,True,False,False,False,False
2026-01-28,HOU,SAS,0.630680414020733,1.68,2.24,SAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|HOU|SAS,SAS,True,False,HOME,HOU,0.0,1.68,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,IND,CHI,0.4969075030029516,2.14,1.74,IND,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|IND|CHI,IND,True,True,AWAY,CHI,0.0,1.74,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,MEM,CHO,0.3457381079824077,2.1,1.77,CHO,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|MEM|CHO,CHO,True,False,AWAY,CHO,1.0,1.77,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
