date,home_team,away_team,home_win_rate,home_team_prob,prob_iso,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,prob_used,odds_1,odds_2,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,live_shrink_triggered,live_oos_proxy_ready,live_oos_proxy_used,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,blocked_by,EV_€_per_100,stake_flat,potential_profit_if_win,won,pnl_flat,cum_profit_flat,bankroll_flat,bankroll_after_flat
2026-01-19,CLE,OKC,0.5,,0.6,,,,,0.6,2.85,,,,,,,,,,,,,,71.00000000000001,100.0,185.0,,,,,
2026-01-22,DAL,GSW,0.78,,0.6554621848739496,,,,,0.6554621848739496,2.85,,,,,,,,,,,,,,86.80672268907564,100.0,185.0,,,,,
2026-01-25,MIN,GSW,0.67,,0.696078431372549,,,,,0.696078431372549,1.41,,,,,,,,,,,,,,-1.852941176470596,100.0,41.0,,,,,
2026-01-26,CHI,LAL,0.67,,0.56,,,,,0.56,1.98,,,,,,,,,,,,,,10.880000000000011,100.0,98.0,,,,,
2026-01-28,DAL,MIN,0.67,,0.4734042553191489,,,,,0.4734042553191489,3.05,,,,,,,,,,,,,,44.38829787234041,100.0,205.0,,,,,
2026-01-29,CHI,MIA,0.62,,0.6335877862595419,,,,,0.6335877862595419,2.05,,,,,,,,,,,,,,29.885496183206083,100.0,105.0,,,,,
2026-01-29,DAL,CHO,0.6,,0.46875,,,,,0.46875,2.3,,,,,,,,,,,,,,7.812499999999989,100.0,130.0,,,,,
2026-01-29,PHO,DET,0.86,,0.6335877862595419,,,,,0.6335877862595419,2.36,,,,,,,,,,,,,,49.526717557251885,100.0,136.0,,,,,
2026-01-30,DEN,LAC,0.56,,0.5625,,,,,0.5625,2.8,,,,,,,,,,,,,,57.49999999999999,100.0,180.0,,,,,
2026-01-30,PHO,CLE,0.88,,0.466321243523316,,,,,0.466321243523316,2.5,,,,,,,,,,,,,,16.580310880829018,100.0,150.0,,,,,
2026-02-01,DEN,OKC,0.56,,0.6323529411764706,,,,,0.6323529411764706,3.35,,,,,,,,,,,,,,111.83823529411764,100.0,235.0,,,,,
2026-02-01,POR,CLE,0.67,,0.4891304347826087,,,,,0.4891304347826087,2.3,,,,,,,,,,,,,,12.49999999999999,100.0,130.0,,,,,
2026-02-03,DAL,BOS,0.5,,0.4774774774774775,,,,,0.4774774774774775,3.1,,,,,,,,,,,,,,48.01801801801802,100.0,210.0,,,,,
2026-02-04,NYK,DEN,0.56,,0.7727272727272727,,,,,0.7727272727272727,1.42,,,,,,,,,,,,,,9.727272727272718,100.0,42.0,,,,,
2026-02-04,TOR,MIN,0.6,,0.6,,,,,0.6,2.2,,,,,,,,,,,,,,32.00000000000001,100.0,120.0,,,,,
2026-02-05,HOU,CHO,0.73,,0.624113475177305,,,,,0.624113475177305,1.62,,,,,,,,,,,,,,1.1063829787234136,100.0,62.0,,,,,
2026-02-07,OKC,HOU,0.7,,0.6180555555555556,,,,,0.6180555555555556,1.65,,,,,,,,,,,,,,1.9791666666666652,100.0,65.0,,,,,
2026-02-07,PHO,PHI,0.7,,0.6180555555555556,,,,,0.6180555555555556,1.82,,,,,,,,,,,,,,12.48611111111112,100.0,82.0,,,,,
2026-02-19,LAC,DEN,0.57,,0.5866666666666667,,,,,0.5866666666666667,2.36,,,,,,,,,,,,,,38.453333333333326,100.0,136.0,,,,,
